"Address","Content Type","Size (bytes)","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-10067102-951d2f5c3b423ac9af7bd4d3f0b8dddd3cc.png","image/png","49176","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-10067106-951b2c5edff2c020adc2dbf9d628db63ca4.png","image/png","46983","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-7698829-95120f36a43d4b4a20f296deb4016d63f90.png","image/png","70133","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-7698823-951221e3f9fb55317e4e8b1464746b0744f.png","image/png","69691","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-7698819-95120f36a43d4b4a20f296deb4016d63f90.png","image/png","70133","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-7698827-9514f564b296b19bf4d50ea631c93dc3ae4.png","image/png","93932","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-7698825-951762b5622cadb2816d355768237288d50.png","image/png","71727","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-7698821-95179408f0b8e3f4f7d5df8d0f12a7e40b7.png","image/png","70229","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-7698839-951e6598dd295f53eb0f8cfee0da19fed7b.png","image/png","105070","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-7698869-9519783a4837ab95ef5e1eb371ace43d03b.png","image/png","52591","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-7698881-95102af41ba95abe991dbfc5a8a422850ac.png","image/png","76665","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-7698857-95178a059cf3fa625f7618333c42d1afedc.png","image/png","63669","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-7698871-95127f84ec329412ab7da5db9ebe3b7882f.png","image/png","75610","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-7698863-951cf429af64a527531a5acc4a1b8cee8c2.png","image/png","50128","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-7698851-9517498b386140fafc4a68cb5c99ddb9a48.png","image/png","70171","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-7698861-9518f608571e15398d5ce82f002f8898ce8.png","image/png","61900","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-7698873-95107de2fc11f349efa5467e7e4659f859f.png","image/png","59491","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-7698885-951bc743e31dfc9d5e5c90e616ce9420972.png","image/png","69502","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-7698853-951a3bce1730e1f9c7cff9ea64bd11072c3.png","image/png","66761","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-7698865-9517498b386140fafc4a68cb5c99ddb9a48.png","image/png","70171","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-7698855-951bfd505853ab50d21b4a97ec00d7c2384.png","image/png","80394","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-7698867-9516b2f912529ac89ebedf1824f122b484c.png","image/png","63596","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-7698859-951bc743e31dfc9d5e5c90e616ce9420972.png","image/png","69500","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-7698877-9513ef93b9f98af9fa437376b1dbb2d04dc.png","image/png","59379","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-10048473-95165977317e455bc903136e99ed0a0f619.png","image/png","70514","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/interface/hwlogo_hc.png","image/png; x-api-version=2.0","22496","6701","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_quittingsmoking_100528123.png","image/png; x-api-version=2.0","21914","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/interface/hwlogo.png","image/png; x-api-version=2.0","22030","6701","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_urinarysystem_86536363.png","image/png; x-api-version=2.0","42537","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_parenting_106454965.png","image/png; x-api-version=2.0","56075","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_sexualreporgan_86802883.png","image/png; x-api-version=2.0","47196","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/acm9797_460x300.jpg","image/jpeg; x-api-version=2.0","14700","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_wiseconsumer_113592817.png","image/png; x-api-version=2.0","48903","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_coldflu_56570076.png","image/png; x-api-version=2.0","36762","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_firstaid_76764081.png","image/png; x-api-version=2.0","54991","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_earnosethroat_105599737.png","image/png; x-api-version=2.0","44143","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_dis_inj_prev.png","image/png; x-api-version=2.0","37360","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_sleep.png","image/png; x-api-version=2.0","44834","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_teens_83402421.png","image/png; x-api-version=2.0","60507","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_immunesystem_stk65265cor.png","image/png; x-api-version=2.0","31599","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_digestion_82557924.png","image/png; x-api-version=2.0","47254","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_substanceabuse_200252820-001.png","image/png; x-api-version=2.0","50929","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/acp8001_460x300.jpg","image/jpeg; x-api-version=2.0","10693","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_altmedicine_86490170.png","image/png; x-api-version=2.0","49086","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_copd_resized_989286.png","image/png; x-api-version=2.0","52962","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_baby_health.png","image/png; x-api-version=2.0","40703","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_workplace_dv1961037.png","image/png; x-api-version=2.0","53398","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_teen_hlth2.png","image/png; x-api-version=2.0","43326","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_senior_hlth3.png","image/png; x-api-version=2.0","51842","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_envhealth_dv2014043.png","image/png; x-api-version=2.0","56028","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_eyesvision_78635199.png","image/png; x-api-version=2.0","52551","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_sexualhealth_106585740.png","image/png; x-api-version=2.0","49129","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/acj1587_460x300.jpg","image/jpeg; x-api-version=2.0","14749","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_behavior_000014528299.png","image/png; x-api-version=2.0","41131","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_skinhairnails_78394618.png","image/png; x-api-version=2.0","41687","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_mens_hlth.png","image/png; x-api-version=2.0","50573","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_brainnerves_83253098.png","image/png; x-api-version=2.0","51790","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_heartcirculation_dv1600037.png","image/png; x-api-version=2.0","58442","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_pregnancy_resized_114800.png","image/png; x-api-version=2.0","43932","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_mouthdental_dv1617007.png","image/png; x-api-version=2.0","46276","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_cancer_resized_854285.png","image/png; x-api-version=2.0","50580","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_hormones_89793648.png","image/png; x-api-version=2.0","50835","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_bloodlymph_stk24469med.png","image/png; x-api-version=2.0","40551","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/cc_diabetes.png","image/png; x-api-version=2.0","44777","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_childrens_hlth2.png","image/png; x-api-version=2.0","43305","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_womens_health2.png","image/png; x-api-version=2.0","46354","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_lungsairways_118149840.png","image/png; x-api-version=2.0","55453","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/lc_backneckpain_resized.png","image/png; x-api-version=2.0","52207","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-7698815-951e2aaf822819e1902ce2c20be49cffb2e.png","image/png","70699","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-7698813-9511e52c3c2567f1af289329484907da7db.png","image/png","69388","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-7698817-951bde6819224dc1e782c5de69f088ed757.png","image/png","44431","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/acf5112_460x300.jpg","image/jpeg; x-api-version=2.0","32591","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/abq2151_media_lib_thumb.jpg","image/jpeg; x-api-version=2.0","2345","8","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/abn1985_media_lib_thumb.jpg","image/jpeg; x-api-version=2.0","5081","4","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/abn2415_media_lib_thumb.jpg","image/jpeg; x-api-version=2.0","5208","5","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/h9991506_006tt.jpg","image/jpeg; x-api-version=2.0","4722","3","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/h9991263_001tt.jpg","image/jpeg; x-api-version=2.0","3257","16","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/abn1976_media_lib_thumb.jpg","image/jpeg; x-api-version=2.0","1862","5","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/h9991470_002tt.jpg","image/jpeg; x-api-version=2.0","17337","2","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/medical/hw/h9991324_001.jpg","image/jpeg; x-api-version=2.0","42273","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/h9991262_001_2tt.jpg","image/jpeg; x-api-version=2.0","5074","2","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/acj1478_media_lib_thumb.jpg","image/jpeg; x-api-version=2.0","8296","3","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/h9991360_001tt.jpg","image/jpeg; x-api-version=2.0","4129","6","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/h9991489_001tt.jpg","image/jpeg; x-api-version=2.0","5055","2","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/h9991324_001tt.jpg","image/jpeg; x-api-version=2.0","3797","4","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/abp5071_media_lib_thumb.jpg","image/jpeg; x-api-version=2.0","6955","5","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/abp5078_media_lib_thumb.jpg","image/jpeg; x-api-version=2.0","5769","4","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/abo3399_media_lib_thumb.jpg","image/jpeg; x-api-version=2.0","6099","4","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/aco6446_media_lib_thumb.jpg","image/jpeg; x-api-version=2.0","6019","2","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/abo9526_media_lib_thumb.jpg","image/jpeg; x-api-version=2.0","6179","2","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/abp5061_media_lib_thumb.jpg","image/jpeg; x-api-version=2.0","6821","3","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/acn1058_media_lib_thumb.jpg","image/jpeg; x-api-version=2.0","6099","2","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-8779968-951abb6b0637f8a6e949a5815fec2a4acd1.png","image/png","47699","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-10004460-951377238cbe75593d67d66dc41ba2e2f8a.png","image/png","68295","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-8779947-951a3bce1730e1f9c7cff9ea64bd11072c3.png","image/png","66680","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-9082880-9518f608571e15398d5ce82f002f8898ce8.png","image/png","62496","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-8779937-951313c82ca09aec1d49f43dc5ca8a421b7.png","image/png","59978","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-8779929-951c7b8d24588277086f515473b1de3c0e6.png","image/png","30056","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-8779962-951e192d9cb19533816d5fc539dbf8ca07e.png","image/png","28413","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-8779933-951534bf5647139f8986ee76e9ab8f7861c.png","image/png","53616","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-8779965-9513ef8aa3371712e09ad014d7551f6c686.png","image/png","50272","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-8779925-95120f36a43d4b4a20f296deb4016d63f90.png","image/png","68818","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-8779941-951da32a88bd265abcdc501cdb597420b71.png","image/png","57768","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-8779944-9512ea144e84e6c3c7f36ac321ecc2aa0aa.png","image/png","87239","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-8779952-951cf429af64a527531a5acc4a1b8cee8c2.png","image/png","50721","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-8779956-951bfd505853ab50d21b4a97ec00d7c2384.png","image/png","81054","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-8779959-951f19f18085022c7c38c73781c6ddcb621.png","image/png","68015","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-10058989-951d5518e56984491bde8063db5e484ed72.png","image/png","31440","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/abq0137_416x312.jpg","image/jpeg; x-api-version=2.0","32210","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/acl9168_media_lib_thumb.jpg","image/jpeg; x-api-version=2.0","5995","11","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/abq0137_media_lib_thumb.jpg","image/jpeg; x-api-version=2.0","8374","3","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/abo2103_416x312.jpg","image/jpeg; x-api-version=2.0","17400","3","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/abo9258_416x312.jpg","image/jpeg; x-api-version=2.0","25324","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/abq0144_media_lib_thumb.jpg","image/jpeg; x-api-version=2.0","5794","4","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/abq0144_416x312.jpg","image/jpeg; x-api-version=2.0","19184","1","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/abo2094_416x312.jpg","image/jpeg; x-api-version=2.0","27653","21","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/abo9258_media_lib_thumb.jpg","image/jpeg; x-api-version=2.0","7723","3","Indexable","",""
"https://content.healthwise.net/resources/14.7/en-us/media/thumbnails/abo5525_media_lib_thumb.jpg","image/jpeg; x-api-version=2.0","9845","2","Indexable","",""
"https://www.columbiadoctors.org/childrens-health/sites/default/files/staticmaps/paragraphs_item-1969676-951bfd505853ab50d21b4a97ec00d7c2384.png","image/png","80995","1","Indexable","",""
"https://www.columbiadoctors.org/childrens-health/sites/default/files/staticmaps/paragraphs_item-1969681-9513a93d7e2c5617d12030463b32f1d1a74.png","image/png","52747","1","Indexable","",""
"https://www.columbiadoctors.org/childrens-health/sites/default/files/staticmaps/paragraphs_item-1976626-951ac7a8d0ec30834830c149baf6476d0d3.png","image/png","69518","1","Indexable","",""
"https://www.columbiadoctors.org/childrens-health/sites/default/files/staticmaps/paragraphs_item-1976046-951f9cd472ad5086ce86599252744309e3b.png","image/png","83008","1","Indexable","",""
"https://www.columbiadoctors.org/childrens-health/sites/default/files/staticmaps/paragraphs_item-1979033-951574349c29abf1aa97503c89f55589323.png","image/png","73000","1","Indexable","",""
"https://www.columbiadoctors.org/childrens-health/sites/default/files/staticmaps/paragraphs_item-1968421-951bfd505853ab50d21b4a97ec00d7c2384.png","image/png","82131","1","Indexable","",""
"https://www.columbiadoctors.org/childrens-health/sites/default/files/staticmaps/paragraphs_item-1968411-95118c2ac49051b48eb618c2e2484b04b41.png","image/png","78028","1","Indexable","",""
"https://www.columbiadoctors.org/childrens-health/sites/default/files/staticmaps/paragraphs_item-1968431-9513f26207b2e0cf39fbc42cc4cd0b0af51.png","image/png","48689","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/node-726-35120f36a43d4b4a20f296deb4016d63f90.png","image/png","68769","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/node-9691-3511b41cef959d180c3d16887620dba82f5.png","image/png","65360","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/node-491-35107de2fc11f349efa5467e7e4659f859f.png","image/png","63756","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/node-16997-3513f0b78074dda9cd6f9448e3694f7a4c3.png","image/png","40495","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/node-521-351c193581456707e8ddc3cd1537f8cdfa9.png","image/png","63140","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/node-696-351c220d4fbd31625afb2662445b7738ac9.png","image/png","41656","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/node-15834-351cf35d99acd2a6c4cb962b8468dedb918.png","image/png","47966","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/node-776-351f5d3efbde506a57cfb0cf18b0714e291.png","image/png","73401","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/node-541-3513f26207b2e0cf39fbc42cc4cd0b0af51.png","image/png","48341","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/node-526-35157222c5a331e99702104a8ea3e4cd37d.png","image/png","86672","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/node-816-35136bd8a19d7f990576d96e938f4798f8c.png","image/png","69757","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/node-581-3516ed72a64e71c05daa2bfa26e07d9bdad.png","image/png","61178","1","Indexable","",""
"https://www.columbiadoctors.org/sites/default/files/staticmaps/node-12111-3518a5d9c50ee4e153e8959486913cb9fc4.png","image/png","56904","1","Indexable","",""
