"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin","Real Dimensions","Dimensions in Attributes","Display Dimensions","Potential Savings (bytes)"
"Misc","https://www.columbiadoctors.org/specialties/radiology/our-services","https://www.columbiadoctors.org/sites/default/files/styles/cola_media_320_16_9/public/media/images/2024-08/xray_hero.jpg?itok=Yg9g9Fd5","6901","","","200","","true","","","N/A","","","Dynamically Loaded","","","","0"
"Misc","https://www.columbiadoctors.org/specialties/radiology/our-services","https://www.columbiadoctors.org/sites/default/files/styles/cola_media_320_16_9/public/media/images/2024-10/ct_hero_2.jpg?itok=GnPtAAyn","9586","","","200","","true","","","N/A","","","Dynamically Loaded","","","","0"
"Misc","https://www.columbiadoctors.org/specialties/radiology/our-services","https://www.columbiadoctors.org/sites/default/files/styles/cola_media_320_16_9/public/media/images/2024-10/pet-ct_hero.jpg?itok=LSlBs7nz","7280","","","200","","true","","","N/A","","","Dynamically Loaded","","","","0"
"Misc","https://www.columbiadoctors.org/specialties/radiology/our-services","https://www.columbiadoctors.org/sites/default/files/styles/cola_media_320_16_9/public/media/images/2024-09/breast_imaging_hero.jpg?itok=dcePfCr8","10183","","","200","","true","","","N/A","","","Dynamically Loaded","","","","0"
"Misc","https://www.columbiadoctors.org/specialties/radiology/our-services","https://www.columbiadoctors.org/sites/default/files/styles/cola_media_320_16_9/public/media/images/2025-02/db_01092025_025.jpg?itok=04a-BBk_","8845","","","200","","true","","","N/A","","","Dynamically Loaded","","","","0"
"Misc","https://www.columbiadoctors.org/specialties/radiology/our-services","https://www.columbiadoctors.org/sites/default/files/styles/cola_media_320_16_9/public/media/images/2024-09/msk.jpg?itok=ubrLXdhC","10923","","","200","","true","","","N/A","","","Dynamically Loaded","","","","0"
"Misc","https://www.columbiadoctors.org/specialties/radiology/our-services","https://www.columbiadoctors.org/sites/default/files/styles/cola_media_320_16_9/public/media/images/2024-07/radiology_ultrasound_hero.jpg?itok=ZXyJxYop","9470","","","200","","true","","","N/A","","","Dynamically Loaded","","","","0"
"Misc","https://www.columbiadoctors.org/specialties/radiology/our-services","https://www.columbiadoctors.org/sites/default/files/styles/cola_media_320_16_9/public/media/images/2024-10/fluoroscopyhero2.jpg?itok=U_5jEJU_","11715","","","200","","true","","","N/A","","","Dynamically Loaded","","","","0"
"Misc","https://www.columbiadoctors.org/specialties/radiology/our-services","https://www.columbiadoctors.org/sites/default/files/styles/cola_media_320_16_9/public/media/images/2024-10/interventional_radiology2.jpg?itok=xOlTDUj5","11176","","","200","","true","","","N/A","","","Dynamically Loaded","","","","0"
"Misc","https://www.columbiadoctors.org/specialties/radiology/our-services","https://www.columbiadoctors.org/sites/default/files/styles/cola_media_320_16_9/public/media/images/teaser/2024-10/pediatric_imaging_hero.jpg?itok=TgbBKUCo","11274","","","200","","true","","","N/A","","","Dynamically Loaded","","","","0"
"Misc","https://www.columbiadoctors.org/specialties/radiology/our-services/bone-density-dexa","https://www.columbiadoctors.org/sites/default/files/styles/cola_media_1600_3_1/public/media/images/2024-10/bonedensityhero3.jpg?itok=qaZke9EY","84855","","","200","","true","","","N/A","","","Dynamically Loaded","","","","0"
"Misc","https://www.columbiadoctors.org/specialties/radiology/our-services/computed-tomography-ct","https://www.columbiadoctors.org/sites/default/files/styles/cola_media_1600_3_1/public/media/images/2024-10/ct_hero_2.jpg?itok=aTO93o1J","61599","","","200","","true","","","N/A","","","Dynamically Loaded","","","","0"
"Image","https://www.columbiadoctors.org/specialties/radiology/our-services/bone-density-dexa/our-locations","https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-8785022-95120f36a43d4b4a20f296deb4016d63f90.png","69555","","","200","","true","","","Absolute","//body/div[@class='cb-page-wrapper']/main/div[2]/div/div/div/div/div[2]/div/div[@class='cb-content-area__wrapper']/div/div[@class='cb-content-area__main']/div[3]/div/div/div[2]/div/div[3]/a/img","Content","HTML & Rendered HTML","600x450","600x450","469x352","27026"
"Image","https://www.columbiadoctors.org/specialties/radiology/our-services/bone-density-dexa/our-locations","https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-9057249-951f19f18085022c7c38c73781c6ddcb621.png","56219","","","200","","true","","","Absolute","//body/div[@class='cb-page-wrapper']/main/div[2]/div/div/div/div/div[2]/div/div[@class='cb-content-area__wrapper']/div/div[@class='cb-content-area__main']/div[3]/div/div/div[4]/div/div[3]/a/img","Content","HTML & Rendered HTML","600x450","600x450","469x352","21845"
"Image","https://www.columbiadoctors.org/specialties/radiology/our-services/bone-density-dexa/our-locations","https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-8785025-951e192d9cb19533816d5fc539dbf8ca07e.png","29618","","","200","","true","","","Absolute","//body/div[@class='cb-page-wrapper']/main/div[2]/div/div/div/div/div[2]/div/div[@class='cb-content-area__wrapper']/div/div[@class='cb-content-area__main']/div[3]/div/div/div[5]/div/div[3]/a/img","Content","HTML & Rendered HTML","600x450","600x450","469x352","11508"
"Image","https://www.columbiadoctors.org/specialties/radiology/our-services/computed-tomography-ct/our-locations","https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-8785029-95120f36a43d4b4a20f296deb4016d63f90.png","68818","","","200","","true","","","Absolute","//body/div[@class='cb-page-wrapper']/main/div[2]/div/div/div/div/div[2]/div/div[@class='cb-content-area__wrapper']/div/div[@class='cb-content-area__main']/div[3]/div/div/div[2]/div/div[3]/a/img","Content","HTML & Rendered HTML","600x450","600x450","469x352","26740"
"Image","https://www.columbiadoctors.org/specialties/radiology/our-services/computed-tomography-ct/our-locations","https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-8785045-951da32a88bd265abcdc501cdb597420b71.png","57768","","","200","","true","","","Absolute","//body/div[@class='cb-page-wrapper']/main/div[2]/div/div/div/div/div[2]/div/div[@class='cb-content-area__wrapper']/div/div[@class='cb-content-area__main']/div[3]/div/div/div[4]/div/div[3]/a/img","Content","HTML & Rendered HTML","600x450","600x450","469x352","22447"
"Image","https://www.columbiadoctors.org/specialties/radiology/our-services/computed-tomography-ct/our-locations","https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-10054628-951377238cbe75593d67d66dc41ba2e2f8a.png","69593","","","200","","true","","","Absolute","//body/div[@class='cb-page-wrapper']/main/div[2]/div/div/div/div/div[2]/div/div[@class='cb-content-area__wrapper']/div/div[@class='cb-content-area__main']/div[3]/div/div/div[3]/div/div[3]/a/img","Content","HTML & Rendered HTML","600x450","600x450","469x352","27041"
"Image","https://www.columbiadoctors.org/specialties/radiology/our-services/computed-tomography-ct/our-locations","https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-8785048-951cf429af64a527531a5acc4a1b8cee8c2.png","50751","","","200","","true","","","Absolute","//body/div[@class='cb-page-wrapper']/main/div[2]/div/div/div/div/div[2]/div/div[@class='cb-content-area__wrapper']/div/div[@class='cb-content-area__main']/div[3]/div/div/div[5]/div/div[3]/a/img","Content","HTML & Rendered HTML","600x450","600x450","469x352","19720"
"Image","https://www.columbiadoctors.org/specialties/radiology/our-services/computed-tomography-ct/our-locations","https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-8785058-951e192d9cb19533816d5fc539dbf8ca07e.png","28441","","","200","","true","","","Absolute","//body/div[@class='cb-page-wrapper']/main/div[2]/div/div/div/div/div[2]/div/div[@class='cb-content-area__wrapper']/div/div[@class='cb-content-area__main']/div[3]/div/div/div[12]/div/div[3]/a/img","Content","HTML & Rendered HTML","600x450","600x450","469x352","11051"
"Image","https://www.columbiadoctors.org/specialties/radiology/our-services/computed-tomography-ct/our-locations","https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-8785033-951c7b8d24588277086f515473b1de3c0e6.png","30056","","","200","","true","","","Absolute","//body/div[@class='cb-page-wrapper']/main/div[2]/div/div/div/div/div[2]/div/div[@class='cb-content-area__wrapper']/div/div[@class='cb-content-area__main']/div[3]/div/div/div[9]/div/div[3]/a/img","Content","HTML & Rendered HTML","600x450","600x450","469x352","11679"
"Image","https://www.columbiadoctors.org/specialties/radiology/our-services/computed-tomography-ct/our-locations","https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-8785052-951bfd505853ab50d21b4a97ec00d7c2384.png","81713","","","200","","true","","","Absolute","//body/div[@class='cb-page-wrapper']/main/div[2]/div/div/div/div/div[2]/div/div[@class='cb-content-area__wrapper']/div/div[@class='cb-content-area__main']/div[3]/div/div/div[6]/div/div[3]/a/img","Content","HTML & Rendered HTML","600x450","600x450","469x352","31751"
"Image","https://www.columbiadoctors.org/specialties/radiology/our-services/computed-tomography-ct/our-locations","https://www.columbiadoctors.org/sites/default/files/staticmaps/paragraphs_item-8785055-951f19f18085022c7c38c73781c6ddcb621.png","67952","","","200","","true","","","Absolute","//body/div[@class='cb-page-wrapper']/main/div[2]/div/div/div/div/div[2]/div/div[@class='cb-content-area__wrapper']/div/div[@class='cb-content-area__main']/div[3]/div/div/div[11]/div/div[3]/a/img","Content","HTML & Rendered HTML","600x450","600x450","469x352","26404"
